# x_original y_original y_fitted
66.543100 3.438470e-21 4.369655e-20
66.639300 3.420784e-21 4.339856e-20
66.735600 3.402040e-21 4.309401e-20
66.831800 3.382318e-21 4.278364e-20
66.928000 3.361700e-21 4.246721e-20
67.024300 3.340269e-21 4.214447e-20
67.120500 3.318106e-21 4.181617e-20
67.216800 3.295295e-21 4.148171e-20
67.313000 3.271917e-21 4.114188e-20
67.409300 3.248050e-21 4.079607e-20
67.505500 3.223773e-21 4.044506e-20
67.601700 3.199161e-21 4.008860e-20
67.698000 3.174287e-21 3.972640e-20
67.794200 3.149219e-21 3.935929e-20
67.890500 3.124026e-21 3.898660e-20
67.986700 3.098770e-21 3.860919e-20
68.083000 3.073511e-21 3.822637e-20
68.179200 3.048306e-21 3.783902e-20
68.275500 3.023207e-21 3.744642e-20
68.371700 2.998265e-21 3.704948e-20
68.467900 2.973524e-21 3.664789e-20
68.564200 2.949027e-21 3.624131e-20
68.660400 2.924814e-21 3.583067e-20
68.756700 2.900920e-21 3.541521e-20
68.852900 2.877377e-21 3.499589e-20
68.949200 2.854214e-21 3.457191e-20
69.045400 2.831459e-21 3.414426e-20
69.141600 2.809134e-21 3.371259e-20
69.237900 2.787262e-21 3.327653e-20
69.334100 2.765860e-21 3.283707e-20
69.430400 2.744944e-21 3.239340e-20
69.526600 2.724528e-21 3.194652e-20
69.622900 2.704625e-21 3.149561e-20
69.719100 2.685244e-21 3.104167e-20
69.815300 2.666393e-21 3.058435e-20
69.911600 2.648080e-21 3.012325e-20
70.007800 2.630308e-21 2.965941e-20
70.104100 2.613082e-21 2.919196e-20
70.200300 2.596405e-21 2.872198e-20
70.296600 2.580278e-21 2.824855e-20
70.392800 2.564700e-21 2.777277e-20
70.489000 2.549672e-21 2.729423e-20
70.585300 2.535193e-21 2.681252e-20
70.681500 2.521259e-21 2.632872e-20
70.777800 2.507870e-21 2.584193e-20
70.874000 2.495020e-21 2.535324e-20
70.970300 2.482707e-21 2.486172e-20
71.066500 2.470926e-21 2.436849e-20
71.162800 2.459672e-21 2.387261e-20
71.259000 2.448942e-21 2.337519e-20
71.355200 2.438730e-21 2.287582e-20
71.451500 2.429030e-21 2.237405e-20
